TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,sha256
TEAM BEVEL,1,adewale-the-amebo,adewale the amebo,Adewale likes to be in everyone's business. ,Male,hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity;,cad316c3-37f8-4b27-9f53-9d803bfcfee7,2b074e5a4924b3489d9387ce02f16dd6cdfa28f6ba0e9891a2cc1ed3db45a264
,2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none: strength: powerful; weakness: none;,a57ecda4-a26f-4e97-a757-e1800af39aab,a7e7087bf812baf041b73ed4f9133df221ac2b6cdccb5bf28dbaf452e1c3ff52
,3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,Female,hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude;,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,2c06bf4d2932367089beb910cddba4f11b5fd6c2a8553500a492e95bd6d3699e
,4,aminu-the-carpenter,aminu the carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none;,4f30b751-96e7-40fe-97fd-e3d44973ff2f,93022a854e1cc689865ec609f171821e6587a8427159b3596233413985034e2e
,5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none;,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,e94f129ae65b9fdaf68c1a37f3d5998cf6a75662e68e104d75f512fb5be64fd1
,6,chidinma-the-model,chidinma the model,From Paris' runways; to London's streets; she's always in demand.,Female,hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none;,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,447920302349d6f776f20e166e2565abbd959a333d78f8a6251a11e30a7d3e04
,7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,Female,hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none;,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,9e52a3b851ebfe79d1c97457e888fd9ab2b4884f964c0b8f5c901ca094aa805b
,8,damilare-the-handsome,damilare the handsome,He's a fine boy; proper eye candy. ,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,27eca2dc-d7df-474a-8f8f-1858152c711e,0f040089b021ea7c5d14073ee767aa017bf2955647eb9a6125f4f61f692949cb
,9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,Male,hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none;,f1df8270-4d60-4bd4-8959-ba7c384db5c4,a4060bb8c6b5c67cbdd9cd5077a54746b90d7589013f86d5455b6903b883040d
,10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,Male,hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none;,9b3d75da-4887-4089-aee4-50de3954fdc9,ecafc79e73096d752b44621a2ab7b0ca6a8a49757830bf185ace7e743455d7d1
